university_id,school,subs
139,"Ruxmaniben Deepchand Gardi Medical College, Ujjain",3
2619,Lincoln Memorial University,3
451,"ESIC Medical College, Kolkata",3
363,"Kamineni Institute of Medical Sciences, Narketpally",3
934,"Lake Erie College of Osteopathic Medicine School of Pharmacy, Erie Campus",3
2554,Drexel University,3
2521,University of North Carolina at Chapel Hill,3
2456,West Virginia State University,3
2584,George Washington University,2
2622,Louisiana State University,2
2345,University of Texas Arlington,2
2574,Ferris State University,2
295,"Government Medical College, Patiala",2
666,Louisiana State University – New Orleans,2
2502,Bryn Mawr College,2
401,"Baba Raghav Das Medical College, Gorakhpur",2
568,Norwich Medical School,2
1657,Augsburg College,2
335,"Kanyakumari Government Medical College, Kanyakumari",2
2678,Old Dominion University,2
1873,Ross University,2
354,"Employees State Insurance Corporation Medical College, Sanathnagar",2
2230,Austin Community College District,2
484,Georgetown American University,2
2740,The College of New Jersey,2
1716,Missouri Southern State University,2
2839,Valdosta State University,2
144,"Ashwini Medical College Hospital, Solapur",2
685,College of Medicine Umm Al-Qura University,2
1312,University of Central Florida,2
576,Warwick Medical School,2
243,"All India Institute of Medical Sciences, Bhubaneswar",2
681,University of New England,2
652,Southern Illinois University,2
2768,University of Cincinnati,2
2765,University at Buffalo,2
743,"Touro College, Manhattan",2
175,"Terna Medical College, Navi Mumbai",2
536,Bay University School of Medicine,2
172,"Shri Bhausaheb Hire Government Medical College, Dhule",2
251,"Kalinga Institute of Medical Sciences, Bhubaneswar",2
229,Vinnytsia National Pirogov Medical University,2
2709,Rutgers University,2
927,University of Toledo College of Pharmacy & Pharmaceutical Sciences,2
307,"Dr. S.N. Medical College, Jodhpur",2
670,Boston University School of Medicine PA Program,2
403,"Government Medical College, Azamgarh",2
854,Larkin University College of Pharmacy,2
549,Brunel Medical School,2
870,Midwestern University Chicago College of Pharmacy,2
2754,University of Miami,2
931,Pacific University Oregon School of Pharmacy,2
903,Fred Wilson School of Pharmacy,2
2756,University of Utah,2
699,Duke University Medical Center,2
145,"B. J. Medical College, Pune",2
2177,Lander University,2
1366,Univeristy of Iowa,2
149,Dr. Panjabrao Deshmukh Memorial Medical College,2
1867,Princeton University,2
322,"Sikkim Manipal Institute of Medical Sciences, Gangtok",2
593,Midwestern University,2
805,"University of Texas Health Science Center, San Antonio",2
152,"Government Medical College & General Hospital, Baramati",2
361,"Kakatiya Medical College, Warangal",2
2514,Butler University,2
2758,University of Arkansas,2
509,Escuela Latinoamericana de Medicina,2
2023,Oberlin College and Conservatory,2
367,"Malla Reddy Institute of Medical Sciences, Hyderabad",2
441,"All India Institute of Medical Sciences, Kalyani",2
2629,George Mason University,2
2611,Kansas State University,2
626,Stellenbosch University Faculty of Medicine and Health Sciences,2
2910,University of Pikeville,2
592,Arizona School of Health Sciences,2
2815,University of South Alabama,2
477,Université Joseph Lafortune Faculté de Médecine,2
134,"Gajara Raja Medical College, Gwalior",2
758,"University of Oklahoma, Oklahoma City",2
844,University of California-San Francisco School of Pharmacy,2
486,Lincoln American University,2
377,"S.V.S Medical College, Mahbubnagar",2
458,"Medical College and Hospital, Kolkata",2
691,Mayo Clinic School of Health Sciences,2
1232,Trinity College,2
2844,Washington State University,2
331,"Government Vellore Medical College, Vellore",2
625,Taif University College of Medicine,2
1741,William Carey University,2
801,Texas Tech University Health Sciences Center,2
2633,Massachusetts Institute of Technology,2
246,"Government Medical College and Hospital, Sundargarh",2
2226,Abilene Christian University,1
1369,University of Hawaiʻi at Mānoa,1
470,Curtin University Curtin Medical School,1
1378,Benedictine University,1
573,Southampton Medical School,1
762,Pacific University,1
1693,A.T. Still University,1
353,Dr. VRK Womens Medical College,1
512,Facultad de Ciencias Medicas Las Tunas,1
248,"Hi-Tech Medical College, Rourkela",1
2299,Trinity University,1
599,Dominican University of California,1
2809,University of North Texas,1
444,Calcutta National Medical College,1
2741,Texas Christian University,1
2837,Virginia Commonwealth University,1
167,"Maharashtra Institute of Medical Education and Research (MIMER), Talegaon, Pune",1
655,University of Aleppo,1
1938,Lehman College,1
690,College of St. Scholastica,1
517,Instituto Superior de Ciencias Medicas de Santiago de Cuba,1
862,Philadelphia College of Osteopathic Medicine School of Pharmacy–Georgia Campus,1
147,"Bharati Vidyapeeth Deemed University Medical College and Hospital, Sangli",1
501,"Universidad Tecnológica de Santiago Escuela de Medicina, Santiago de Los Caballeros",1
2813,University of Rochester,1
2302,Texas A&M University Corpus Christi,1
716,Monmouth University,1
939,University of Puerto Rico School of Pharmacy,1
510,Facultad de Ciencias Medicas Cienfuegos,1
693,Stephens College,1
695,Mississippi College,1
2694,University of Pittsburgh,1
819,Marshall University,1
2167,University of Adelaide,1
2863,Youngstown State University,1
2702,Quinnipiac University,1
